timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], clocks.current.sm [MHz], power.draw [W], temperature.gpu
2025/09/12 13:25:49.050, 0, 3 %, 29 %, 1293 MiB, 12282 MiB, 210 MHz, 7.62 W, 29
2025/09/12 13:25:50.059, 0, 3 %, 32 %, 1293 MiB, 12282 MiB, 210 MHz, 7.91 W, 29
2025/09/12 13:25:51.066, 0, 3 %, 34 %, 1293 MiB, 12282 MiB, 210 MHz, 8.55 W, 29
2025/09/12 13:25:52.076, 0, 3 %, 34 %, 1293 MiB, 12282 MiB, 210 MHz, 8.82 W, 29
2025/09/12 13:25:53.081, 0, 6 %, 34 %, 1293 MiB, 12282 MiB, 210 MHz, 8.19 W, 29
2025/09/12 13:25:54.091, 0, 6 %, 24 %, 1301 MiB, 12282 MiB, 210 MHz, 7.62 W, 29
2025/09/12 13:25:55.096, 0, 5 %, 27 %, 1301 MiB, 12282 MiB, 210 MHz, 7.99 W, 29
2025/09/12 13:25:56.101, 0, 4 %, 27 %, 1301 MiB, 12282 MiB, 210 MHz, 8.72 W, 29
2025/09/12 13:25:57.106, 0, 4 %, 27 %, 1301 MiB, 12282 MiB, 210 MHz, 8.79 W, 29
2025/09/12 13:25:58.112, 0, 3 %, 31 %, 1302 MiB, 12282 MiB, 210 MHz, 8.04 W, 29
2025/09/12 13:25:59.119, 0, 3 %, 11 %, 1296 MiB, 12282 MiB, 210 MHz, 7.53 W, 29
2025/09/12 13:26:00.123, 0, 3 %, 19 %, 1296 MiB, 12282 MiB, 210 MHz, 8.07 W, 29
2025/09/12 13:26:01.130, 0, 3 %, 15 %, 1296 MiB, 12282 MiB, 210 MHz, 8.70 W, 29
2025/09/12 13:26:02.135, 0, 5 %, 19 %, 1296 MiB, 12282 MiB, 210 MHz, 8.46 W, 29
2025/09/12 13:26:03.141, 0, 3 %, 20 %, 1288 MiB, 12282 MiB, 210 MHz, 7.81 W, 29
