procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 13744704 659488 8403416    0    0     0   132 2562 2183  7  3 90  0  0
 1  0      0 13669136 659488 8403448    0    0     0    88 2456 1893 21  2 77  0  0
 1  0      0 13619756 659488 8403460    0    0     0     0 1901 2893  5  2 93  0  0
 1  0      0 13437308 659488 8403528    0    0     0   128 1624 2172  5  2 93  0  0
 1  0      0 13379380 659488 8403532    0    0     0     0 1391 1525  6  2 92  0  0
 1  0      0 13340056 659492 8403536    0    0     0   204 2511 1685  5  3 92  0  0
 2  0      0 13254908 659496 8403540    0    0     0     0 2249 1344  5  2 92  0  0
 2  0      0 13193372 659504 8403580    0    0     0   252 2714 1893  8  2 90  0  0
 2  0      0 13230136 659504 8403620    0    0     0   196 2945 2921  9  1 90  0  0
 0  0      0 13780448 659504 8403564    0    0     0     0 2689 1347  3  1 95  0  0
 0  0      0 13780448 659504 8403564    0    0     0     0  889  932  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 13778684 659504 8403568    0    0     0     0 1405 1244  1  0 98  0  0
 1  0      0 13730228 659512 8403596    0    0     0   264 2682 1541  6  2 92  0  0
 1  0      0 13650628 659512 8403636    0    0     0   172 3704 1483 19  2 79  0  0
 1  0      0 13570784 659512 8403636    0    0     0     0 2933 2895  5  2 93  0  0
 2  0      0 13404212 659512 8403632    0    0     0     0 2943 2431  6  2 92  0  0
 1  0      0 13360156 659512 8403632    0    0     0     0 1874 1151  5  2 93  0  0
 1  0      0 13312780 659516 8403632    0    0     0   172 1908 1148  5  2 93  0  0
 2  0      0 13223528 659516 8403640    0    0     0     0 2423 1711  7  2 92  0  0
 2  0      0 13143924 659524 8403688    0    0     0   404 2542 1470  9  2 89  0  0
 2  0      0 13207632 659524 8403692    0    0     0     8 2062 1070  8  1 91  0  0
 0  0      0 13756988 659524 8403676    0    0     0     0 1716 1210  2  1 97  0  0
 0  0      0 13754972 659524 8403668    0    0     0     0 1226 1140  1  1 99  0  0
 1  0      0 13753712 659524 8403672    0    0     0     0 1091 1001  1  0 99  0  0
 0  0      0 13753460 659532 8403672    0    0     0   288 1045 1043  0  0 99  0  0
 0  0      0 13754348 659532 8403680    0    0     0     0 1004  880  0  0 99  0  0
 0  0      0 13753592 659532 8403680    0    0     0     0 1099  912  1  0 99  0  0
 1  0      0 13753340 659532 8403684    0    0     0     0 1376 1366  1  0 98  0  0
 0  0      0 13745632 659532 8403692    0    0     0     0 2466 2744  1  1 98  0  0
 0  0      0 13747336 659532 8403704    0    0     0   240 1962 1495  1  1 99  0  0
 0  0      0 13746076 659532 8403692    0    0     0     0 1287 1028  1  0 99  0  0
 0  0      0 13744564 659532 8403704    0    0     0     0 1505 1548  1  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
