timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], clocks.current.sm [MHz], power.draw [W], temperature.gpu
2025/09/12 12:50:18.837, 0, 33 %, 12 %, 3542 MiB, 12282 MiB, 1455 MHz, 39.03 W, 39
2025/09/12 12:50:19.840, 0, 25 %, 11 %, 3537 MiB, 12282 MiB, 1740 MHz, 49.09 W, 39
2025/09/12 12:50:20.843, 0, 6 %, 3 %, 3540 MiB, 12282 MiB, 1740 MHz, 32.96 W, 38
2025/09/12 12:50:21.847, 0, 30 %, 12 %, 3523 MiB, 12282 MiB, 1485 MHz, 42.17 W, 39
2025/09/12 12:50:22.851, 0, 20 %, 9 %, 3528 MiB, 12282 MiB, 1200 MHz, 36.96 W, 39
2025/09/12 12:50:23.855, 0, 43 %, 12 %, 3519 MiB, 12282 MiB, 1050 MHz, 32.22 W, 39
2025/09/12 12:50:24.859, 0, 33 %, 12 %, 3519 MiB, 12282 MiB, 1230 MHz, 42.10 W, 41
2025/09/12 12:50:26.703, 0, 12 %, 4 %, 3523 MiB, 12282 MiB, 1230 MHz, 37.12 W, 39
2025/09/12 12:50:27.707, 0, 44 %, 13 %, 3519 MiB, 12282 MiB, 1335 MHz, 39.60 W, 40
2025/09/12 12:50:28.711, 0, 45 %, 20 %, 3519 MiB, 12282 MiB, 1575 MHz, 51.32 W, 42
2025/09/12 12:50:29.716, 0, 11 %, 4 %, 3523 MiB, 12282 MiB, 1575 MHz, 38.63 W, 39
2025/09/12 12:50:30.720, 0, 16 %, 7 %, 3523 MiB, 12282 MiB, 1590 MHz, 37.96 W, 39
2025/09/12 12:50:31.724, 0, 21 %, 10 %, 3519 MiB, 12282 MiB, 1665 MHz, 42.37 W, 45
2025/09/12 12:50:32.726, 0, 9 %, 4 %, 3523 MiB, 12282 MiB, 1140 MHz, 33.09 W, 38
2025/09/12 12:50:33.731, 0, 29 %, 10 %, 3519 MiB, 12282 MiB, 1290 MHz, 42.41 W, 39
2025/09/12 12:50:34.755, 0, 15 %, 6 %, 3519 MiB, 12282 MiB, 1290 MHz, 35.37 W, 39
2025/09/12 12:50:35.759, 0, 48 %, 18 %, 3519 MiB, 12282 MiB, 1245 MHz, 39.39 W, 39
2025/09/12 12:50:36.762, 0, 11 %, 5 %, 3517 MiB, 12282 MiB, 1365 MHz, 44.11 W, 44
2025/09/12 12:50:37.765, 0, 17 %, 7 %, 3521 MiB, 12282 MiB, 1365 MHz, 33.84 W, 38
2025/09/12 12:50:38.768, 0, 15 %, 5 %, 3517 MiB, 12282 MiB, 1380 MHz, 37.97 W, 39
2025/09/12 12:50:39.774, 0, 11 %, 4 %, 3521 MiB, 12282 MiB, 1380 MHz, 34.51 W, 38
2025/09/12 12:50:40.777, 0, 31 %, 15 %, 3517 MiB, 12282 MiB, 1965 MHz, 49.94 W, 42
2025/09/12 12:50:41.781, 0, 15 %, 6 %, 3517 MiB, 12282 MiB, 1965 MHz, 48.47 W, 41
2025/09/12 12:50:42.783, 0, 10 %, 4 %, 3521 MiB, 12282 MiB, 1170 MHz, 29.30 W, 38
2025/09/12 12:50:43.788, 0, 13 %, 4 %, 3521 MiB, 12282 MiB, 1125 MHz, 33.11 W, 40
2025/09/12 12:50:44.791, 0, 14 %, 5 %, 3517 MiB, 12282 MiB, 1275 MHz, 35.60 W, 38
2025/09/12 12:50:45.794, 0, 46 %, 14 %, 3517 MiB, 12282 MiB, 1470 MHz, 37.46 W, 38
2025/09/12 12:50:46.797, 0, 36 %, 14 %, 3517 MiB, 12282 MiB, 1560 MHz, 44.52 W, 40
2025/09/12 12:50:47.800, 0, 18 %, 7 %, 3521 MiB, 12282 MiB, 1605 MHz, 44.36 W, 40
2025/09/12 12:50:48.803, 0, 34 %, 13 %, 3517 MiB, 12282 MiB, 1470 MHz, 44.46 W, 46
2025/09/12 12:50:49.808, 0, 40 %, 19 %, 3521 MiB, 12282 MiB, 1425 MHz, 43.81 W, 40
2025/09/12 12:50:50.851, 0, 19 %, 4 %, 3541 MiB, 12282 MiB, 2610 MHz, 37.10 W, 38
2025/09/12 12:50:51.854, 0, 13 %, 4 %, 3541 MiB, 12282 MiB, 2610 MHz, 51.96 W, 41
2025/09/12 12:50:52.857, 0, 23 %, 7 %, 3536 MiB, 12282 MiB, 2610 MHz, 58.23 W, 41
2025/09/12 12:50:53.861, 0, 6 %, 3 %, 3527 MiB, 12282 MiB, 1725 MHz, 52.89 W, 39
2025/09/12 12:50:54.864, 0, 17 %, 5 %, 3523 MiB, 12282 MiB, 1350 MHz, 35.38 W, 38
2025/09/12 12:50:55.868, 0, 9 %, 4 %, 3518 MiB, 12282 MiB, 1680 MHz, 41.24 W, 39
2025/09/12 12:50:56.871, 0, 32 %, 18 %, 3514 MiB, 12282 MiB, 1680 MHz, 38.01 W, 40
2025/09/12 12:50:57.875, 0, 36 %, 11 %, 3514 MiB, 12282 MiB, 1140 MHz, 32.54 W, 39
2025/09/12 12:50:59.721, 0, 32 %, 10 %, 3519 MiB, 12282 MiB, 1170 MHz, 38.88 W, 40
2025/09/12 12:51:00.724, 0, 10 %, 4 %, 3519 MiB, 12282 MiB, 705 MHz, 29.94 W, 38
2025/09/12 12:51:01.728, 0, 21 %, 7 %, 3514 MiB, 12282 MiB, 1020 MHz, 34.65 W, 38
2025/09/12 12:51:02.731, 0, 38 %, 12 %, 3514 MiB, 12282 MiB, 1260 MHz, 41.14 W, 41
2025/09/12 12:51:03.735, 0, 30 %, 10 %, 3514 MiB, 12282 MiB, 1260 MHz, 41.49 W, 40
2025/09/12 12:51:04.738, 0, 18 %, 6 %, 3519 MiB, 12282 MiB, 1335 MHz, 39.21 W, 41
2025/09/12 12:51:05.742, 0, 18 %, 6 %, 3514 MiB, 12282 MiB, 1335 MHz, 31.46 W, 38
2025/09/12 12:51:06.746, 0, 54 %, 19 %, 3519 MiB, 12282 MiB, 1200 MHz, 38.74 W, 39
2025/09/12 12:51:07.749, 0, 26 %, 9 %, 3514 MiB, 12282 MiB, 1260 MHz, 37.28 W, 41
2025/09/12 12:51:08.752, 0, 43 %, 19 %, 3514 MiB, 12282 MiB, 1350 MHz, 35.17 W, 38
