procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12625928 657220 8315372    0    0     0     0 2687 2233  5  2 93  0  0
 1  0      0 12607588 657220 8315356    0    0     0     0 2345 2131  5  2 93  0  0
 2  0      0 12617512 657228 8315440    0    0     0    92 1967 1493  6  1 93  0  0
 1  0      0 12625748 657228 8315452    0    0     0     0 2010 1627  5  1 93  0  0
 1  0      0 12623072 657228 8315472    0    0     0   240 2840 2391  5  2 93  0  0
 1  0      0 12629832 657228 8315464    0    0     0     0 2595 2132  5  2 93  0  0
 1  0      0 12606740 657228 8315524    0    0     0     0 2738 2851  6  1 93  0  0
 1  0      0 12628608 657236 8315524    0    0     0    92 2221 1822  6  1 93  0  0
 1  0      0 12628696 657236 8315524    0    0     0     0 2038 1819  6  1 93  0  0
 1  0      0 12626824 657236 8315536    0    0     0   160 2678 2376  6  1 93  0  0
 1  0      0 12616812 657236 8315536    0    0     0     0 2709 2208  5  2 93  0  0
 1  0      0 12625796 657236 8315612    0    0     0     0 2126 1857  6  1 93  0  0
 1  0      0 12613648 657240 8315676    0    0     0    76 2157 2003  6  1 93  0  0
 1  0      0 12613648 657240 8315748    0    0     0     0 1892 1450  5  1 93  0  0
 1  0      0 12624144 657240 8315756    0    0     0   268 2655 2273  5  2 93  0  0
 1  0      0 12614892 657240 8315860    0    0     0     0 2388 1811  6  2 93  0  0
 1  0      0 12610040 657240 8315936    0    0     0     0 1875 1411  6  1 93  0  0
 1  0      0 12624708 657248 8316008    0    0     0    84 1926 1542  6  1 93  0  0
 1  0      0 12622084 657248 8316092    0    0     0     0 2101 1777  5  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 12621876 657248 8316176    0    0     0   428 2745 2475  6  1 93  0  0
 2  0      0 12618472 657248 8316284    0    0     0     0 2290 1821  6  1 93  0  0
 1  0      0 12620696 657248 8316280    0    0     0     0 2007 1753  6  1 93  0  0
 1  0      0 12610684 657256 8316428    0    0     0    92 2200 2099  6  1 93  0  0
 1  0      0 12614720 657256 8316492    0    0     0     0 1970 1608  6  1 93  0  0
 1  0      0 12616756 657256 8316576    0    0     0   444 2596 2278  6  1 93  0  0
 1  0      0 12613844 657256 8316644    0    0     0     0 2429 1942  6  1 93  0  0
 1  0      0 12612676 657256 8316704    0    0     0     0 2026 1596  6  1 93  0  0
 1  0      0 12617264 657260 8316708    0    0     0    92 2130 1810  5  1 93  0  0
 1  0      0 12586052 657260 8316776    0    0     0    80 2326 2204  5  1 93  0  0
 1  0      0 12616240 657260 8316768    0    0     0     0 2927 2341  6  2 93  0  0
 1  0      0 12582680 657260 8316872    0    0     0   260 2721 2204  6  1 93  0  0
 1  0      0 12610144 657260 8316940    0    0     0     0 2153 1919  6  1 93  0  0
 1  0      0 12594936 657264 8316984    0    0     0    80 1954 1533  6  1 93  0  0
 1  0      0 12617280 657264 8317016    0    0     0     0 2050 1761  5  2 93  0  0
 1  0      0 12593968 657264 8317080    0    0     0     0 2478 2079  6  1 93  0  0
 1  0      0 12613200 657264 8317092    0    0     0   336 2714 2432  6  2 93  0  0
 1  0      0 12615224 657264 8317140    0    0     0     0 2740 3066  6  1 93  0  0
 1  0      0 12602936 657268 8317208    0    0     0    84 2046 1656  6  1 93  0  0
 2  0      0 12614724 657268 8317216    0    0     0     0 2383 2230  5  1 93  0  0
 1  0      0 12613184 657268 8317212    0    0     0     0 2710 2286  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12600812 657268 8317292    0    0     0   224 2716 2357  5  2 93  0  0
 1  0      0 12612736 657268 8317300    0    0     0     0 1952 1642  6  1 93  0  0
 1  0      0 12612596 657268 8317384    0    0     0    72 2268 2003  6  1 93  0  0
 1  0      0 12612484 657268 8317388    0    0     0     0 2149 1967  5  1 93  0  0
 1  0      0 12605796 657268 8317408    0    0     0     0 2794 2339  6  2 93  0  0
 1  0      0 12606724 657268 8317492    0    0     0   320 2622 2084  6  1 93  0  0
 1  0      0 12614476 657268 8317620    0    0     0     0 2139 1716  6  1 93  0  0
 1  0      0 12614364 657272 8317620    0    0     0    92 2179 1807  5  1 93  0  0
 1  0      0 12584740 657272 8317632    0    0     0     0 2122 1829  5  2 93  0  0
 1  0      0 12602960 657272 8317768    0    0     0     0 3201 3458  6  1 93  0  0
 1  0      0 12614980 657272 8317768    0    0     0   336 2466 1952  5  1 93  0  0
 1  0      0 12617472 657272 8317836    0    0     0     0 2003 1860  6  1 93  0  0
 1  0      0 12602412 657280 8317912    0    0     0    92 1806 1390  6  1 93  0  0
 1  0      0 12602156 657280 8317912    0    0     0     0 1863 1434  6  1 93  0  0
 1  0      0 12582336 657280 8317996    0    0     0     0 2685 2221  6  2 93  0  0
 1  0      0 12581832 657280 8318064    0    0     0   364 2522 2133  6  1 93  0  0
 2  0      0 12615516 657280 8318060    0    0     0     0 2305 2077  6  1 93  0  0
 1  0      0 12612884 657288 8318060    0    0     0    84 2328 1910  6  2 93  0  0
 1  0      0 12582588 657288 8318060    0    0     0     0 1997 1522  6  1 93  0  0
 1  0      0 12604768 657288 8318164    0    0     0     0 2794 2381  6  2 93  0  0
 1  0      0 12588472 657288 8318156    0    0     0   244 2414 2022  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12609736 657288 8318228    0    0     0     0 2225 1736  6  1 93  0  0
 1  0      0 12617848 657288 8318244    0    0     0    92 2142 1743  6  1 93  0  0
 1  0      0 12617400 657288 8318304    0    0     0     0 2186 1837  6  1 93  0  0
 1  0      0 12620276 657288 8318312    0    0     0     0 2403 1894  6  1 93  0  0
 1  0      0 12616744 657288 8318400    0    0     0   292 2462 1958  5  2 93  0  0
 1  0      0 12616464 657288 8318476    0    0     0     0 2242 1978  6  1 93  0  0
 1  0      0 12586148 657296 8318556    0    0     0    76 1877 1479  6  1 93  0  0
 1  0      0 12607036 657296 8318540    0    0     0     0 2120 1856  6  1 93  0  0
 1  0      0 12617948 657296 8318636    0    0     0     0 2471 2112  5  2 93  0  0
